up,down,left,right,angle,distance,size,decision
0,1,1,0,-0.7048270706751789,0.14907119849998599,6,3
0,1,1,0,-0.9979868357099047,0.13333333333333333,6,3
0,1,1,0,-0.7048270706751789,0.14907119849998599,6,-1
0,1,0,0,-0.4999954984661651,0.09428090415820635,6,-1
0,1,0,0,-1.0,0.06666666666666667,6,-1
0,1,0,0,0.49999549846616503,0.09428090415820635,6,-1
0,1,0,0,0.7048270706751788,0.14907119849998599,6,-1
0,1,0,0,0.7951611959004532,0.21081851067789198,6,-1
0,1,0,0,0.8440355632610937,0.2748737083745107,6,-1
0,1,0,0,0.8743278412168008,0.339934634239519,6,-1
0,1,0,0,0.8948568071948771,0.4055175020198813,6,-1
0,1,0,0,0.9096592274113112,0.4714045207910317,6,-1
0,1,0,0,0.9208268349002544,0.5374838498865699,6,-1
0,1,0,0,-0.07045290192497759,0.6036923425424945,6,-3
0,0,0,1,-0.0009490162851993963,0.6,6,-3
0,0,0,1,-0.07045290192497759,0.6036923425424945,6,1
1,0,0,0,-0.07917316509974563,0.5374838498865699,6,1
1,0,0,0,-0.09034077258868885,0.4714045207910317,6,1
1,0,0,0,-0.10514319280512281,0.4055175020198813,6,1
1,0,0,0,-0.12567215878319915,0.339934634239519,6,1
1,0,0,0,-0.15596443673890628,0.2748737083745107,6,1
1,0,0,0,-0.20483880409954702,0.21081851067789198,6,1
1,0,0,0,-0.29517292932482114,0.14907119849998599,6,1
1,0,0,0,-0.500004501533835,0.09428090415820635,6,1
1,0,0,0,0.0,0.06666666666666667,6,1
1,0,0,0,-0.4999954984661651,0.09428090415820635,6,3
0,0,1,0,-0.9971529616889558,0.06666666666666667,6,3
0,0,1,0,0.500004501533835,0.09428090415820635,6,3
0,0,1,0,0.7048341882170581,0.14907119849998599,6,3
0,0,1,0,0.795167906354788,0.21081851067789198,6,3
0,0,1,1,0.844042125251732,0.2748737083745107,6,3
0,0,1,1,-0.12566566667568332,0.339934634239519,6,-1
0,1,0,1,-1.0,0.3333333333333333,6,-1
0,1,0,1,-0.8743343333243168,0.339934634239519,6,-3
0,0,0,1,-0.844042125251732,0.2748737083745107,6,-3
0,0,0,1,-0.795167906354788,0.21081851067789198,6,-3
0,0,0,1,-0.7048341882170583,0.14907119849998599,6,-3
0,0,0,1,-0.500004501533835,0.09428090415820635,6,-3
0,0,0,1,-0.0028470383110441983,0.06666666666666667,6,1
1,0,0,0,0.0,0.0,6,1
1,0,0,0,-0.9096656580146997,0.4714045207910317,7,1
1,1,0,0,-1.0,0.4666666666666667,7,-3
0,1,0,1,-1.0,0.4,7,-3
0,1,0,1,-1.0,0.3333333333333333,7,-3
0,1,0,1,-1.0,0.26666666666666666,7,-3
0,1,0,1,-1.0,0.2,7,-3
0,1,0,1,-1.0,0.13333333333333333,7,-3
0,1,0,1,-1.0,0.06666666666666667,7,-3
0,1,0,1,-1.0,0.0,7,-1
0,1,0,0,-0.05771582435552381,0.7363574011458174,8,-1
0,1,0,0,-1.0,0.7333333333333333,8,-1
0,1,0,0,0.05771582435552381,0.7363574011458174,8,-1
0,1,0,0,0.11449819056839725,0.7453559924999299,8,-1
0,1,0,0,-0.8304988333549455,0.7601169500660919,8,3
0,0,1,0,-0.8144530247756776,0.69602043392737,8,3
0,0,1,0,-0.7951674589860047,0.6324555320336759,8,3
0,0,1,0,-0.7715997769749904,0.5696002496878354,8,3
0,0,1,0,-0.7422382414337649,0.507718207057594,8,3
